Adjective,Country
Afghan,Afghanistan
Afghans,Afghanistan
Afghanistani,Afghanistan
Afghanistanis,Afghanistan
Albanian,Albania
Albanians,Albania
Algerian,Algeria
Algerians,Algeria
Andorran,Andorra
Andorrans,Andorra
Angola,Angola
Angolan,Angola
Angolans,Angola
Antiguan,Antigua and Barbuda
Antiguans,Antigua and Barbuda
Barbudan,Antigua and Barbuda
Barbudans,Antigua and Barbuda
Argentinian,Argentina
Argentinians,Argentina
Argentine,Argentina
Argentine,Argentina
Armenian,Armenia
Armenians,Armenia
Australian,Australia
Australians,Australia
Austrian,Austria
Austrians,Austria
Azerbaijani,Azerbaijan
Azerbaijanis,Azerbaijan
Bahamian,The Bahamas
Bahamians,The Bahamas
Bahraini,Bahrain
Bahrainis,Bahrain
Bangladesh,Bangladesh
Bangladeshi,Bangladesh
Bangladeshis,Bangladesh
Bengali,Bangladesh
Bengalis,Bangladesh
Barbadian,Barbados
Barbadians,Barbados
Belarussian,Belarus
Belarussians,Belarus
Belarusian,Belarus
Belarusians,Belarus
Belgian,Belgium
Belgians,Belgium
Beninese,Benin
Bhutanese,Bhutan
Bolivian,Bolivia
Bolivians,Bolivia
Bosnian,Bosnia and Herzegovina
Bosnians,Bosnia and Herzegovina
Herzegovinian,Bosnia and Herzegovina
Herzegovinians,Bosnia and Herzegovina
Motswana,Botswana
Batswana,Botswana
Brazilian,Brazil
Brazilians,Brazil
Bruneian,Brunei
Bruneians,Brunei
Bulgarian,Bulgaria
Bulgarians,Bulgaria
Burkinabe,Burkina Faso
Burkinabes,Burkina Faso
Burundi,Burundi
Burundis,Burundi
Burundian,Burundi
Burundians,Burundi
Cambodian,Cambodia
Cambodians,Cambodia
Kampuchean,Cambodia
Kampucheans,Cambodia
Cameroonian,Cameroon
Cameroonians,Cameroon
Canadian,Canada
Canadians,Canada
Cape Verdean,Cape Verde
Cape Verdeans,Cape Verde
Central African,Central African Republic
Central Africans,Central African Republic
Chadian,Chad
Chadians,Chad
Chilean,Chile
Chileans,Chile
Chinese,China
Colombian,Colombia
Colombians,Colombia
Comoran,Comoros
Comorans,Comoros
Congolese,Democratic Republic of Congo
Congolese,Republic of Congo
Costa Rican,Costa Rica
Costa Ricans,Costa Rica
Ivorian,Côte d'Ivoire
Ivorians,Côte d'Ivoire
Croatian,Croatia
Croatians,Croatia
Croat,Croatia
Croats,Croatia
Cuban,Cuba
Cubans,Cuba
Cypriot,Cyprus
Cypriots,Cyprus
Czech,Czech Republic
Czechs,Czech Republic
Danish,Denmark
Dane,Denmark
Danes,Denmark
Djiboutian,Djibouti
Djiboutians,Djibouti
Dominican,Dominican Republic
Dominicans,Dominican Republic
Ecuadorean,Ecuador
Ecuadoreans,Ecuador
Egyptian,Egypt
Egyptians,Egypt
Salvadorean,El Salvador
Salvadoreans,El Salvador
Equatorial Guinean,Equatorial Guinea
Equatorial Guineans,Equatorial Guinea
Equatoguinean,Equatorial Guinea
Equatoguineans,Equatorial Guinea
Eritrean,Eritrea
Eritreans,Eritrea
Estonian,Estonia
Estonians,Estonia
Ethiopian,Ethiopia
Ethiopians,Ethiopia
Fijian,Fiji
Fijians,Fiji
Finnish,Finland
Finn,Finland
Finns,Finland
French,France
